Taxon,Term,id,population
Loxodonta africana,ivory,AD,1
Loxodonta africana,ivory,AE,19
Loxodonta africana,ivory,AR,105
Loxodonta africana,ivory,AT,111
Loxodonta africana,ivory,AU,75
Loxodonta africana,ivory,BE,289
Loxodonta africana,ivory,BM,1
Loxodonta africana,ivory,BW,2
Loxodonta africana,ivory,CA,121
Loxodonta africana,ivory,CD,1
Loxodonta africana,ivory,CH,175
Loxodonta africana,ivory,CM,157
Loxodonta africana,ivory,CN,32
Loxodonta africana,ivory,CZ,6
Loxodonta africana,ivory,DE,610
Loxodonta africana,ivory,DK,70
Loxodonta africana,ivory,ES,79
Loxodonta africana,ivory,FR,1064
Loxodonta africana,ivory,GB,4938
Loxodonta africana,ivory,GG,9
Loxodonta africana,ivory,GR,2
Loxodonta africana,ivory,HK,58
Loxodonta africana,ivory,IE,1
Loxodonta africana,ivory,IN,400
Loxodonta africana,ivory,IT,4
Loxodonta africana,ivory,JE,1
Loxodonta africana,ivory,JP,192
Loxodonta africana,ivory,KE,50
Loxodonta africana,ivory,KR,36
Loxodonta africana,ivory,LB,1
Loxodonta africana,ivory,LT,2
Loxodonta africana,ivory,LU,48
Loxodonta africana,ivory,MX,20
Loxodonta africana,ivory,MZ,52
Loxodonta africana,ivory,NA,68
Loxodonta africana,ivory,NG,13
Loxodonta africana,ivory,NL,52
Loxodonta africana,ivory,NO,13
Loxodonta africana,ivory,NZ,326
Loxodonta africana,ivory,PL,319
Loxodonta africana,ivory,PT,84
Loxodonta africana,ivory,RO,53
Loxodonta africana,ivory,RU,16
Loxodonta africana,ivory,SA,6
Loxodonta africana,ivory,SG,18
Loxodonta africana,ivory,SI,11
Loxodonta africana,ivory,TR,5
Loxodonta africana,ivory,UG,6
Loxodonta africana,ivory,US,1657
Loxodonta africana,ivory,UY,146
Loxodonta africana,ivory,VE,54
Loxodonta africana,ivory,VN,100
Loxodonta africana,ivory,ZA,204
Loxodonta africana,ivory ,ZM,18
Loxodonta africana,ivory,ZW,165
