App.,Taxon,Term,Unit,Country,2016
II,Psittacus erithacus,live,,AE,944
II,Psittacus erithacus,live,,AM,7
II,Psittacus erithacus,live,,AR,1
II,Psittacus erithacus,live,,BB,22
II,Psittacus erithacus,live,,BE,51
II,Psittacus erithacus,live,,BG,5
II,Psittacus erithacus,live,,BH,1052
II,Psittacus erithacus,live,,BJ,1
II,Psittacus erithacus,live,,BM,1
II,Psittacus erithacus,live,,BS,2
II,Psittacus erithacus,live,,CA,183
II,Psittacus erithacus,live,,CD,1600
II,Psittacus erithacus,live,,CG,810
II,Psittacus erithacus,live,,CH,8
II,Psittacus erithacus,live,,CM,2299
II,Psittacus erithacus,live,,CO,1
II,Psittacus erithacus,live,,CZ,4
II,Psittacus erithacus,live,,DE,17
II,Psittacus erithacus,live,,ES,51
II,Psittacus erithacus,live,,FR,7
II,Psittacus erithacus,live,,GA,2
II,Psittacus erithacus,live,,GB,10
II,Psittacus erithacus,live,,GG,4
II,Psittacus erithacus,live,,GQ,4
II,Psittacus erithacus timneh,live,,GR,4
II,Psittacus erithacus,live,,ID,109
II,Psittacus erithacus,live,,IL,1
II,Psittacus erithacus,live,,IN,1
II,Psittacus erithacus,live,,IQ,1
II,Psittacus erithacus,live,,IR,2
II,Psittacus erithacus,live,,IS,2
II,Psittacus erithacus,live,,IT,4
II,Psittacus erithacus,live,,JE,3
II,Psittacus erithacus,live,,JO,952
II,Psittacus erithacus,live,,JP,1
II,Psittacus erithacus,live,,KE,2
II,Psittacus erithacus,live,,KR,2
II,Psittacus erithacus,live,,KW,2227
II,Psittacus erithacus,live,,KY,1
II,Psittacus erithacus,live,,KZ,2
II,Psittacus erithacus,live,,LB,1564
II,Psittacus erithacus,live,,ML,2447
II,Psittacus erithacus,live,,MX,1
II,Psittacus erithacus,live,,MY,3
II,Psittacus erithacus,live,,MZ,426
II,Psittacus erithacus,live,,NA,46
II,Psittacus erithacus,live,,NL,97
II,Psittacus erithacus,live,,NO,4
II,Psittacus erithacus,live,,OM,6133
II,Psittacus erithacus,live,,PH,732
II,Psittacus erithacus,live,,PK,3
II,Psittacus erithacus,live,,PT,393
II,Psittacus erithacus,live,,QA,1445
II,Psittacus erithacus,live,,RO,1
II,Psittacus erithacus,live,,RS,2
II,Psittacus erithacus,live,,RU,2
II,Psittacus erithacus,live,,SA,152
II,Psittacus erithacus,live,,SE,1
II,Psittacus erithacus,live,,SG,2822
II,Psittacus erithacus timneh,live,,SN,1
II,Psittacus erithacus,live,,SR,100
II,Psittacus erithacus,live,,SY,160
II,Psittacus erithacus,live,,TD,1
II,Psittacus erithacus,live,,TG,2
II,Psittacus erithacus,live,,TH,44
II,Psittacus erithacus,live,,TR,329
II,Psittacus erithacus,live,,UA,2
II,Psittacus erithacus,live,,UG,1
II,Psittacus erithacus,live,,US,98
II,Psittacus erithacus,live,,UZ,3715
II,Psittacus erithacus,live,,VG,1
II,Psittacus erithacus,live,,ZA,28310
II,Psittacus erithacus,live,,ZM,1
II,Psittacus erithacus,live,,ZW,1
