Taxon,Country,2016
Ceratotherium simum simum,AT,1
Diceros bicornis,AU,1
Rhinoceros unicornis,CA,1
Rhinocerotidae spp.,CH,6
Rhinocerotidae spp.,CN,41
Diceros bicornis,DE,2
Ceratotherium simum simum,ES,1
Diceros bicornis,GB,17
Rhinocerotidae spp.,ID,1
Ceratotherium simum,IE,8
Diceros bicornis,IT,4
Ceratotherium simum simum,MY,114
Ceratotherium simum,NA,1857
Rhinocerotidae spp.,PT,1
Diceros bicornis,SE,2
Rhinocerotidae spp.,SG,4
Rhinocerotidae spp.,UG,20
Ceratotherium simum,US,20
Rhinocerotidae spp.,VN,6
Ceratotherium simum,ZA,405
Diceros bicornis,ZM,2
