id,population,live
BE,51,51
FR,7,7
BG,5,5
TG,2,2
UA,2,2
BB,22,22
SG,2822,2822
DE,17,17
BH,1052,1052
SY,160,160
BJ,1,1
TD,1,1
ZA,28308,28308
JO,952,952
BS,2,2
JE,3,3
RU,2,2
LB,1564,1564
GQ,4,4
PT,393,393
NO,4,4
CO,1,1
NA,46,46
TR,329,329
JP,1,1
UG,1,1
TH,44,44
PK,3,3
PH,732,732
RO,1,1
IS,2,2
ZM,1,1
CH,5,5
AE,944,944
GR,4,4
CM,2297,2297
VG,1,1
IQ,1,1
CG,753,753
CA,52,52
IR,2,2
AM,7,7
IT,4,4
CD,1600,1600
GG,4,4
CZ,4,4
XX,1,1
AR,1,1
GB,10,10
GA,1,1
IN,1,1
NL,97,97
ZW,1,1
ID,109,109
ES,51,51
OM,6133,6133
KE,2,2
UZ,3715,3715
ML,2447,2447
RS,2,2
US,76,76
QA,1445,1445
KR,2,2
SA,152,152
KW,2227,2227
SN,1,1
SR,100,100
KZ,2,2
KY,1,1
MZ,426,426
MY,3,3
MX,1,1
SE,1,1
IL,1,1
