id,population,specimens,medicine,live,trophies,bodies,carvings,horns,horn carvings
BE,5,,,,,,,5,
FR,2,,,,,,2,,
CH,1,,,1,,,,,
CN,33,,,14,12,5,,2,
EE,1,,,,1,,,,
DE,235,232,,,3,,,,
JP,1,,,,,,1,,
ZA,1862,1858,,,,,,4,
VN,4,,,4,,,,,
HU,2,,,,2,,,,
HK,40,,,,,,6,2,32
AU,3,,,2,,,1,,
AT,6,,,,2,,,3,1
ES,1,,,,1,,,,
RU,2,,,,2,,,,
TZ,1,,,1,,,,,
KE,127,127,,,,,,,
NA,23,,,23,,,,,
TT,1,,,1,,,,,
TR,3,,,2,1,,,,
US,173,80,41,11,35,,,2,4
SK,3,,,,1,,,2,
NZ,1,,,,,,1,,
KW,10,,,,10,,,,
PL,2,,,,2,,,,
TH,8,,,8,,,,,
KZ,2,,,,2,,,,
RO,6,,,,4,,,2,
SG,5,1,,,1,,,3,
MX,5,,,3,1,,1,,
SE,2,2,,,,,,,
GB,5,,,,,1,,4,
