App.,Taxon,Term,Unit,Country,2016
I,Loxodonta africana,bone pieces,,US,1
I,Loxodonta africana,bones,g,DE,350
I,Loxodonta africana,bones,,CA,2
I,Loxodonta africana,ears,,CA,5
I,Loxodonta africana,ears,,NL,2
I,Loxodonta africana,ears,,US,4
I,Loxodonta africana,feet,,AU,1
I,Loxodonta africana,feet,,CA,8
I,Loxodonta africana,feet,,DK,1
I,Loxodonta africana,feet,,NL,2
I,Loxodonta africana,feet,,NZ,1
I,Loxodonta africana,feet,,US,8
I,Loxodonta africana,ivory carvings,kg,BE,2.95
I,Loxodonta africana,ivory carvings,kg,CA,5.349
I,Loxodonta africana,ivory carvings,kg,CH,5.4
I,Loxodonta africana,ivory carvings,kg,CN,7.1
I,Loxodonta africana,ivory carvings,kg,DK,3
I,Loxodonta africana,ivory carvings,kg,GB,0.4
I,Loxodonta africana,ivory carvings,kg,HK,145.58
I,Loxodonta africana,ivory carvings,kg,JP,0.8
I,Loxodonta africana,ivory carvings,kg,KR,0.716
I,Loxodonta africana,ivory carvings,kg,RU,3.1
I,Loxodonta africana,ivory carvings,kg,US,0.208
I,Loxodonta africana,ivory carvings,,AE,8
I,Loxodonta africana,ivory carvings,,AT,17
I,Loxodonta africana,ivory carvings,,AU,170
I,Loxodonta africana,ivory carvings,,BA,1
I,Loxodonta africana,ivory carvings,,BE,3
I,Loxodonta africana,ivory carvings,,BM,1
I,Loxodonta africana,ivory carvings,,BR,1
I,Loxodonta africana,ivory carvings,,CA,44
I,Loxodonta africana,ivory carvings,,CH,134
I,Loxodonta africana,ivory carvings,,CL,1
I,Loxodonta africana,ivory carvings,,CN,236.5
I,Loxodonta africana,ivory carvings,,DE,119
I,Loxodonta africana,ivory carvings,,ES,2
I,Loxodonta africana,ivory carvings,,FI,36
I,Loxodonta africana,ivory carvings,,FR,202
I,Loxodonta africana,ivory carvings,,GB,291
I,Loxodonta africana,ivory carvings,,GL,3
I,Loxodonta africana,ivory carvings,,HK,379
I,Loxodonta africana,ivory carvings,,IN,8
I,Loxodonta africana,ivory carvings,,IT,3
I,Loxodonta africana,ivory carvings,,JP,298
I,Loxodonta africana,ivory carvings,,KH,1
I,Loxodonta africana,ivory carvings,,KR,31
I,Loxodonta africana,ivory carvings,,LB,2
I,Loxodonta africana,ivory carvings,,MC,4
I,Loxodonta africana,ivory carvings,,MX,8
I,Loxodonta africana,ivory carvings,,MY,11
I,Loxodonta africana,ivory carvings,,NL,53
I,Loxodonta africana,ivory carvings,,NO,3
I,Loxodonta africana,ivory carvings,,NZ,30
I,Loxodonta africana,ivory carvings,,OM,1
I,Loxodonta africana,ivory carvings,,PE,1
I,Loxodonta africana,ivory carvings,,PG,39
I,Loxodonta africana,ivory carvings,,PH,6
I,Loxodonta africana,ivory carvings,,PL,4
I,Loxodonta africana,ivory carvings,,PT,5
I,Loxodonta africana,ivory carvings,,RU,24
I,Loxodonta africana,ivory carvings,,SE,12
I,Loxodonta africana,ivory carvings,,SG,47
I,Loxodonta africana,ivory carvings,,TW,36
I,Loxodonta africana,ivory carvings,,UA,2
I,Loxodonta africana,ivory carvings,,UG,5
I,Loxodonta africana,ivory carvings,,US,449
I,Loxodonta africana,ivory carvings,,VN,7
I,Loxodonta africana,ivory carvings,,XX,18
