App.,Taxon,Term,Unit,Country,1996
I,Acinonyx jubatus,bodies,,AE,1
I,Acinonyx jubatus,bodies,,NA,10
I,Acinonyx jubatus,leather products (small),,NG,1
I,Acinonyx jubatus,leather products (small),,XX,1
I,Acinonyx jubatus,live,,BE,2
I,Acinonyx jubatus,live,,CH,8
I,Acinonyx jubatus,live,,IE,2
I,Acinonyx jubatus,live,,MA,1
I,Acinonyx jubatus,live,,NA,57
I,Acinonyx jubatus,live,,NI,2
I,Acinonyx jubatus,live,,NL,1
I,Acinonyx jubatus,live,,RU,3
I,Acinonyx jubatus,live,,US,4
I,Acinonyx jubatus,live,,ZA,28
I,Acinonyx jubatus,skeletons,,NL,2
I,Acinonyx jubatus,skeletons,,ZA,1
I,Acinonyx jubatus,skins,,NA,13
I,Acinonyx jubatus,skins,,NG,1
I,Acinonyx jubatus,skins,,ZA,2
I,Acinonyx jubatus,skins,,ZW,3
I,Acinonyx jubatus,skulls,,NA,12
I,Acinonyx jubatus,skulls,,ZW,3
I,Acinonyx jubatus,specimens,,NA,400
I,Acinonyx jubatus,trophies,,CH,1
I,Acinonyx jubatus,trophies,,GB,1
I,Acinonyx jubatus,trophies,,NA,41
I,Acinonyx jubatus,trophies,,TZ,1
I,Acinonyx jubatus,trophies,,ZW,12
I,Acrantophis dumerili,live,,CH,3
I,Acrantophis dumerili,live,,DK,9
I,Acrantophis dumerili,live,,US,14
I,Acrantophis madagascariensis,live,,DE,16
I,Acrantophis spp.,live,,ID,6
I,Addax nasomaculatus,bodies,,CA,1
I,Addax nasomaculatus,live,,CZ,7
I,Addax nasomaculatus,live,,DE,12
I,Addax nasomaculatus,live,,DK,2
I,Addax nasomaculatus,live,,FR,3
I,Addax nasomaculatus,live,,HU,1
I,Addax nasomaculatus,live,,NL,7
I,Addax nasomaculatus,live,,PT,2
I,Addax nasomaculatus,live,,SE,2
I,Addax nasomaculatus,skins,,US,1
I,Addax nasomaculatus,skulls,,US,1
I,Addax nasomaculatus,trophies,,CA,1
I,Addax nasomaculatus,trophies,,CZ,1
I,Addax nasomaculatus,trophies,,US,8
I,Agave parviflora,live,,DE,1
I,Agave parviflora,live,,NL,100
I,Agave parviflora,seeds,,US,1320
I,Ailuropoda melanoleuca,live,,CN,2
I,Ailuropoda melanoleuca,specimens,bottles,CN,622
I,Ailurus fulgens,live,,AU,1
I,Ailurus fulgens,live,,BE,2
I,Ailurus fulgens,live,,CN,6
I,Ailurus fulgens,live,,DE,5
I,Ailurus fulgens,live,,DK,2
I,Ailurus fulgens,live,,ES,2
I,Ailurus fulgens,live,,NL,1
I,Ailurus fulgens,live,,NO,1
I,Ailurus fulgens,live,,PL,3
I,Ailurus fulgens,live,,US,3
I,Ailurus fulgens,live,,ZA,3
I,Alligator sinensis,leather products (small),,XX,2
I,Alligator sinensis,live,,RU,1
I,Aloe albida,live,,US,1
I,Aloe alfredii,seeds,bags,ZA,1
I,Aloe bakeri,live,,US,2
I,Aloe bakeri,live,,ZA,2
I,Aloe bellatula,live,,CH,4
I,Aloe bellatula,live,,DE,8
I,Aloe calcairophila,live,,CH,90
I,Aloe compressa,live,,CH,30
I,Aloe compressa,live,,DE,10
I,Aloe compressa var. rugosquamosa,live,,CH,1110
I,Aloe descoingsii,live,,CH,168
I,Aloe descoingsii,live,,DE,21
I,Aloe descoingsii,live,,US,3
I,Aloe fragilis,live,,CH,470
I,Aloe fragilis,live,,DE,10
I,Aloe haworthioides,live,,CH,114
I,Aloe haworthioides,live,,DE,8
I,Aloe haworthioides,live,,US,4
I,Aloe laeta,live,,CH,610
I,Aloe laeta,live,,DE,1
I,Aloe parvula,live,,CH,139
I,Aloe parvula,live,,DE,8
I,Aloe pillansii,live,,US,15
I,Aloe pillansii,seeds,g,ZA,14
I,Aloe polyphylla,extract,g,GB,59
I,Aloe polyphylla,live,,US,11
I,Aloe rauhii,live,,CH,4
I,Aloe rauhii,live,,DE,8
I,Aloe rauhii,live,,US,3
I,Aloe suzannae,live,,CH,20
I,Amazona barbadensis,live,,AN,2
I,Amazona barbadensis,live,,GR,3
I,Amazona barbadensis,live,,US,19
I,Amazona brasiliensis,live,,FR,1
I,Amazona brasiliensis,specimens,,BR,10
I,Amazona leucocephala,feathers,,BS,17
I,Amazona leucocephala,feathers,,CU,9
I,Amazona leucocephala,feathers,,KY,100
I,Amazona leucocephala,live,,CH,19
I,Amazona leucocephala,live,,CU,1
I,Amazona leucocephala,live,,CZ,8
I,Amazona leucocephala,live,,DE,5
I,Amazona leucocephala,live,,RU,1
I,Amazona leucocephala,unspecified,,US,2
I,Amazona pretrei,live,,CH,4
I,Amazona rhodocorytha,live,,GB,4
I,Amazona tucumana,live,,CH,11
I,Amazona tucumana,live,,DK,2
I,Amazona tucumana,live,,GB,12
I,Amazona tucumana,live,,US,5
I,Amazona versicolor,feathers,,LC,28
I,Amazona vinacea,live,,CH,19
I,Amazona vinacea,live,,DE,2
I,Amazona vinacea,live,,US,2
I,Amazona vinacea,specimens,,BR,2
I,Anas aucklandica,skins,,NZ,5
I,Anas chlorotis,specimens,,NZ,2
I,Anas laysanensis,live,,ES,3
I,Anas laysanensis,live,,GB,6
I,Anas laysanensis,live,,NL,10
I,Anas laysanensis,live,,XX,2
I,Anodorhynchus glaucus,specimens,,XX,1
I,Anodorhynchus hyacinthinus,feathers,,DE,8
I,Anodorhynchus hyacinthinus,live,,CA,2
I,Anodorhynchus hyacinthinus,live,,CH,14
I,Anodorhynchus hyacinthinus,live,,DE,1
I,Anodorhynchus hyacinthinus,live,,NA,2
I,Anodorhynchus hyacinthinus,live,,NL,3
I,Anodorhynchus hyacinthinus,live,,PH,13
I,Anodorhynchus hyacinthinus,live,,SE,3
I,Anodorhynchus hyacinthinus,live,,US,11
I,Anodorhynchus hyacinthinus,live,,ZA,1
I,Anodorhynchus leari,bodies,,FR,1
I,Anodorhynchus leari,live,,FR,1
I,Aquila heliaca,bodies,,OM,1
I,Aquila heliaca,live,,CR,1
I,Aquila heliaca,live,,RU,1
I,Ara ambiguus,live,,CH,2
I,Ara ambiguus,live,,CR,17
I,Ara ambiguus,live,,ES,2
I,Ara ambiguus,live,,NL,1
I,Ara ambiguus,live,,PH,13
I,Ara ambiguus,live,,US,17
I,Ara ambiguus,live,,XX,4
I,Ara ambiguus,live,,ZA,2
I,Ara ambiguus,specimens,,CA,1
I,Ara ambiguus,specimens,,CR,8
I,Ara glaucogularis,live,,CH,2
I,Ara glaucogularis,live,,PH,5
I,Ara glaucogularis,live,,US,6
I,Ara glaucogularis,live,,ZA,4
I,Ara hybrid,live,,PK,1
I,Ara macao,live,,CA,2
I,Ara macao,live,,CH,4
I,Ara macao,live,,CR,23
I,Ara macao,live,,CZ,2
I,Ara macao,live,,ES,6
I,Ara macao,live,,GM,2
I,Ara macao,live,,IT,6
I,Ara macao,live,,MX,4
I,Ara macao,live,,NL,7
I,Ara macao,live,,PE,1
I,Ara macao,live,,PH,56
I,Ara macao,live,,RU,4
I,Ara macao,live,,SE,2
I,Ara macao,live,,SR,59
I,Ara macao,live,,US,32
I,Ara macao,live,,VE,4
I,Ara macao,specimens,g,CA,1
I,Ara macao,specimens,ml,GT,40
I,Ara macao,specimens,,BR,1
I,Ara macao,specimens,,CA,1
I,Ara macao,specimens,,CR,17
I,Ara militaris,live,,DE,1
I,Ara militaris,live,,DK,3
I,Ara militaris,live,,ES,2
I,Ara militaris,live,,MX,3
I,Ara militaris,live,,NL,2
I,Ara militaris,live,,PE,1
I,Ara militaris,live,,PH,4
I,Ara militaris,live,,SE,2
I,Ara militaris,live,,US,39
I,Ara militaris,live,,ZA,2
I,Ara rubrogenys,live,,PH,6
I,Ara rubrogenys,live,,US,23
I,Ara rubrogenys,live,,ZA,4
I,Ariocarpus agavoides,live,,CH,4
I,Ariocarpus agavoides,live,,CZ,25
I,Ariocarpus agavoides,live,,DE,15
I,Ariocarpus agavoides,live,,US,12
I,Ariocarpus agavoides,live,,ZA,42
I,Ariocarpus agavoides,seeds,,MT,20
I,Ariocarpus agavoides,seeds,,US,1130
I,Ariocarpus fissuratus,live,,CH,9
I,Ariocarpus fissuratus,live,,CZ,225
I,Ariocarpus fissuratus,live,,DE,30
I,Ariocarpus fissuratus,live,,US,13
I,Ariocarpus fissuratus,seeds,g,SK,26.01
I,Ariocarpus fissuratus,seeds,kg,US,50
I,Ariocarpus fissuratus,seeds,,CZ,6000
I,Ariocarpus fissuratus,seeds,,MT,770
I,Ariocarpus fissuratus,seeds,,US,19725
I,Ariocarpus kotschoubeyanus,live,,CH,13
I,Ariocarpus kotschoubeyanus,live,,CZ,280
I,Ariocarpus kotschoubeyanus,live,,DE,47
I,Ariocarpus kotschoubeyanus,live,,US,22
I,Ariocarpus kotschoubeyanus,seeds,g,SK,2.10
I,Ariocarpus kotschoubeyanus,seeds,,CZ,2000
I,Ariocarpus kotschoubeyanus,seeds,,MT,142
I,Ariocarpus kotschoubeyanus,seeds,,US,17110
I,Ariocarpus retusus,live,,CH,8
I,Ariocarpus retusus,live,,CZ,25
I,Ariocarpus retusus,live,,DE,39
I,Ariocarpus retusus,live,,US,16
I,Ariocarpus retusus,live,,ZA,110
I,Ariocarpus retusus,seeds,g,SK,13.97
I,Ariocarpus retusus,seeds,kg,US,50
I,Ariocarpus retusus,seeds,,CZ,4250
I,Ariocarpus retusus,seeds,,MT,230
I,Ariocarpus retusus,seeds,,US,17600
I,Ariocarpus scaphirostris,live,,CH,2
I,Ariocarpus scaphirostris,live,,US,13
I,Ariocarpus scaphirostris,live,,ZA,47
I,Ariocarpus scaphirostris,seeds,,US,320
I,Ariocarpus spp.,live,,CH,8
I,Ariocarpus spp.,live,,CZ,280
I,Ariocarpus spp.,live,,DE,35
I,Ariocarpus spp.,live,,ZA,169
I,Ariocarpus spp.,seeds,g,SK,3.94
I,Ariocarpus spp.,seeds,,CZ,200
I,Ariocarpus spp.,seeds,,MT,120
I,Ariocarpus spp.,seeds,,US,2950
I,Ariocarpus trigonus,live,,CH,9
I,Ariocarpus trigonus,live,,DE,31
I,Ariocarpus trigonus,live,,FR,5
I,Ariocarpus trigonus,live,,ZA,12
I,Ariocarpus trigonus,seeds,g,SK,12.19
I,Ariocarpus trigonus,seeds,,CZ,3000
I,Ariocarpus trigonus,seeds,,MT,780
I,Ariocarpus trigonus,seeds,,US,3810
I,Asarcornis scutulata,live,,GB,3
I,Astrochelys radiata,live,,FR,21
I,Astrochelys radiata,live,,NL,1
I,Astrochelys radiata,live,,XX,1
I,Astrophytum asterias,live,,BR,1600
I,Astrophytum asterias,live,,CH,10
I,Astrophytum asterias,live,,CZ,100
I,Astrophytum asterias,live,,DE,26
I,Astrophytum asterias,live,,US,245
I,Astrophytum asterias,seeds,,CZ,12000
I,Astrophytum asterias,seeds,,MT,460
I,Astrophytum asterias,seeds,,US,13280
I,Avahi laniger,specimens,g,MG,4
I,Avahi laniger,specimens,ml,MG,12
I,Aztekium ritteri,live,,CH,9
I,Aztekium ritteri,live,,DE,22
I,Aztekium ritteri,live,,TH,2
I,Aztekium ritteri,seeds,,CZ,1800
I,Aztekium ritteri,seeds,,MT,340
