App.,Taxon,Term,Unit,Country,2010
II,Psittacus erithacus,bodies,,ZA,2
II,Psittacus erithacus,feathers,,CH,4
II,Psittacus erithacus,feathers,,GA,1
II,Psittacus erithacus,live,kg,CG,1
II,Psittacus erithacus,live,,AE,1153
II,Psittacus erithacus,live,,AM,100
II,Psittacus erithacus,live,,AN,3
II,Psittacus erithacus,live,,AR,2
II,Psittacus erithacus,live,,AW,1
II,Psittacus erithacus,live,,BE,3
II,Psittacus erithacus,live,,BH,1489
II,Psittacus erithacus,live,,BR,2
II,Psittacus erithacus,live,,BS,1
II,Psittacus erithacus,live,,BW,1
II,Psittacus erithacus,live,,BY,1
II,Psittacus erithacus,live,,CA,66
II,Psittacus erithacus,live,,CD,9904
II,Psittacus erithacus,live,,CF,9
II,Psittacus erithacus,live,,CG,1104
II,Psittacus erithacus,live,,CH,15
II,Psittacus erithacus,live,,CM,302
II,Psittacus erithacus,live,,CN,1
II,Psittacus erithacus,live,,CR,4
II,Psittacus erithacus,live,,CU,10
II,Psittacus erithacus,live,,DE,26
II,Psittacus erithacus,live,,DK,5
II,Psittacus erithacus,live,,EC,1
II,Psittacus erithacus,live,,EG,3
II,Psittacus erithacus,live,,ES,5
II,Psittacus erithacus,live,,FR,13
II,Psittacus erithacus,live,,GA,37
II,Psittacus erithacus,live,,GB,12
II,Psittacus erithacus,live,,GG,1
II,Psittacus erithacus,live,,GH,1
II,Psittacus erithacus,live,,GN,1440
II,Psittacus erithacus,live,,GR,1
II,Psittacus erithacus,live,,HK,1
II,Psittacus erithacus,live,,HN,1
II,Psittacus erithacus,live,,HR,4
II,Psittacus erithacus,live,,IL,100
II,Psittacus erithacus,live,,IR,4
II,Psittacus erithacus,live,,IT,1
II,Psittacus erithacus,live,,JE,1
II,Psittacus erithacus,live,,JO,6
II,Psittacus erithacus,live,,JP,3
II,Psittacus erithacus,live,,KE,1
II,Psittacus erithacus,live,,KW,126
II,Psittacus erithacus,live,,LB,115
II,Psittacus erithacus,live,,LR,11
II,Psittacus erithacus,live,,LT,1
II,Psittacus erithacus,live,,LV,1
II,Psittacus erithacus,live,,MA,2
II,Psittacus erithacus,live,,ML,1
II,Psittacus erithacus,live,,MW,2
II,Psittacus erithacus,live,,MX,2
II,Psittacus erithacus,live,,MY,3
II,Psittacus erithacus,live,,MZ,1
II,Psittacus erithacus,live,,NA,203
II,Psittacus erithacus,live,,NE,1
II,Psittacus erithacus,live,,NG,1
II,Psittacus erithacus,live,,NL,21
II,Psittacus erithacus,live,,NO,1
II,Psittacus erithacus,live,,NZ,2
II,Psittacus erithacus,live,,PA,1
II,Psittacus erithacus,live,,PH,465
II,Psittacus erithacus,live,,PL,1
II,Psittacus erithacus,live,,PT,41
II,Psittacus erithacus,live,,QA,3
II,Psittacus erithacus,live,,SA,134
II,Psittacus erithacus,live,,SD,31
II,Psittacus erithacus,live,,SE,4
II,Psittacus erithacus,live,,SG,2473
II,Psittacus erithacus,live,,SI,6
II,Psittacus erithacus,live,,SN,4
II,Psittacus erithacus,live,,SY,53
II,Psittacus erithacus,live,,TC,1
II,Psittacus erithacus,live,,TG,10
II,Psittacus erithacus,live,,TH,11
II,Psittacus erithacus,live,,TR,2
II,Psittacus erithacus,live,,TW,84
II,Psittacus erithacus,live,,TZ,2
II,Psittacus erithacus,live,,UA,1
II,Psittacus erithacus,live,,UG,3
II,Psittacus erithacus,live,,US,114
II,Psittacus erithacus,live,,XX,9
II,Psittacus erithacus,live,,ZA,33368
II,Psittacus erithacus,live,,ZM,1
II,Psittacus erithacus,live,,ZW,23
II,Psittacus erithacus,trophies,,ZA,1
II,Psittacus erithacus timneh,live,,CA,3
II,Psittacus erithacus timneh,live,,GB,1
II,Psittacus erithacus timneh,live,,GN,250
II,Psittacus erithacus timneh,live,,PT,2
II,Psittacus erithacus timneh,live,,SA,1
II,Psittacus erithacus timneh,live,,SG,11
II,Psittacus erithacus timneh,live,,SL,2
II,Psittacus erithacus timneh,live,,US,1
II,Psittacus erithacus timneh,live,,ZA,1124
II,Psittacus erithacus timneh,live,,ZW,1
III,Psittacus erithacus,bodies,,NA,1
