Country,1997
BE,308
BF,2
BO,1
BH,1
FR,95
BJ,2
BW,1
BR,2
GN,1263
RU,7
ZW,4
NL,540
NO,3
NA,9
NC,3
NG,159
GW,5
CI,84
CH,20
GR,1
GQ,2
JP,3
CA,35
CG,2
CF,22
SY,4
BI,1
CZ,180
CY,1
GB,43
GA,29
CR,1
TD,3
GH,5
SZ,1
OM,4
KE,331
ST,20
SK,1
KR,1
KW,3
SL,500
KY,1
SG,89
SE,3
DO,1
DJ,1
DK,6
DE,25
HU,1
AT,3
HK,5
DZ,3
LB,1
CM,4566
PT,4
TT,1
TR,17
TN,2
LR,500
TH,3
TG,3
PH,278
PL,1
ZM,1
AE,58
AG,1
EG,15
ZA,1235
AO,11
IT,2
VN,1
IN,2
TZ,1
CD,10825
IE,133
SA,9
ES,69
MA,3
MY,1
XX,6
US,265
MU,1
UG,5
UA,1
MX,3
MZ,1
