id,population
BE,11
FR,22
BG,4
TZ,1
GA,1
BB,33
BM,1
SG,3094
DE,15
BH,209
SY,742
HU,1
HK,1
ZA,53403
JO,6501
DZ,3
BR,1
JE,2
BY,2
DK,2
ZW,1
LB,1130
GQ,2
PT,92
NO,1
NA,6
TR,55
NE,4
NG,10
LV,1
NZ,2
PA,1
OM,3832
TH,28
PK,5
PH,440
RO,1
UA,2
SN,1
ZM,1
CH,6
AE,272
CM,1800
VG,1
IQ,1
JP,1
CA,45
IR,1
AM,3
CF,4
EC,1
CD,7851
GG,1
CZ,2
GE,1
AO,2
AW,2
TG,15
NL,79
AZ,1
ID,97
ES,72
MG,1
MA,1
KE,1
UZ,4
ML,4950
IL,1
XX,54
US,55
QA,618
TD,1
SA,15
KW,729
SE,5
IT,2
MZ,722
MY,5
GB,13
AT,1
