App.,Taxon,Term,Unit,Country,2016
I,Ceratotherium simum,horn carvings,,US,1
I,Ceratotherium simum,horn pieces,,IE,4
I,Ceratotherium simum,horns,,US,1
I,Ceratotherium simum,live,,ZA,6
I,Ceratotherium simum,specimens,ml,GB,4.25
I,Ceratotherium simum,specimens,,NA,662
I,Ceratotherium simum,specimens,,ZA,30
I,Ceratotherium simum,trophies,,NA,3
I,Ceratotherium simum simum,carvings,,ES,1
I,Ceratotherium simum simum,horns,,ZA,5
I,Ceratotherium simum simum,live,,DE,1
I,Ceratotherium simum simum,live,,NZ,1
I,Ceratotherium simum simum,live,,US,2
I,Ceratotherium simum simum,specimens,,MY,14
I,Ceratotherium simum simum,trophies,,AT,1
I,Ceratotherium simum simum,trophies,,NA,2
I,Ceratotherium simum simum,trophies,,ZA,3
I,Dicerorhinus sumatrensis,specimens,,MY,100
I,Diceros bicornis,bodies,,ZA,1
I,Diceros bicornis,carvings,,DE,1
I,Diceros bicornis,carvings,,GB,1
I,Diceros bicornis,feet,,KE,1
I,Diceros bicornis,feet,,ZA,5
I,Diceros bicornis,horn carvings,,GB,1
I,Diceros bicornis,horn pieces,,IE,4
I,Diceros bicornis,horns,,AU,1
I,Diceros bicornis,horns,,IT,4
I,Diceros bicornis,horns,,ZA,2
I,Diceros bicornis,live,,CZ,1
I,Diceros bicornis,live,,US,2
I,Diceros bicornis,skins,,ZA,1
I,Diceros bicornis,specimens,ml,GB,0.9
I,Diceros bicornis,specimens,,NA,1190
I,Diceros bicornis,specimens,,SE,2
I,Diceros bicornis,specimens,,ZA,118
I,Diceros bicornis,specimens,,ZM,2
I,Rhinoceros sondaicus,carvings,,DE,1
I,Rhinoceros sondaicus,carvings,,GB,1
I,Rhinoceros sondaicus,horn carvings,,GB,1
I,Rhinoceros unicornis,horn carvings,,CA,1
I,Rhinoceros unicornis,horn carvings,,US,16
I,Rhinoceros unicornis,live,,GB,2
I,Rhinoceros unicornis,live,,NL,1
I,Rhinoceros unicornis,specimens,ml,GB,0.95
I,Rhinocerotidae spp.,bone carvings,,ID,1
I,Rhinocerotidae spp.,carvings,,CH,2
I,Rhinocerotidae spp.,carvings,,GB,4
I,Rhinocerotidae spp.,carvings,,PT,1
I,Rhinocerotidae spp.,horn carvings,,CH,4
I,Rhinocerotidae spp.,horn carvings,,GB,9
I,Rhinocerotidae spp.,horn carvings,,US,1
I,Rhinocerotidae spp.,horn carvings,,ZA,3
I,Rhinocerotidae spp.,horn pieces,,VN,6
I,Rhinocerotidae spp.,horns,,SG,4
I,Rhinocerotidae spp.,medicine,,CN,41
I,Rhinocerotidae spp.,specimens,,UG,20
I,Rhinocerotidae spp.,specimens,,ZA,29
II,Ceratotherium simum,feet,,ZA,16
II,Ceratotherium simum,live,,ZA,21
II,Ceratotherium simum,skeletons,,ZA,4
II,Ceratotherium simum,skins,,ZA,4
II,Ceratotherium simum,skulls,,ZA,2
II,Ceratotherium simum,trophies,,ZA,7
II,Ceratotherium simum simum,bodies,,ZA,5
II,Ceratotherium simum simum,feet,,ZA,36
II,Ceratotherium simum simum,horns,,ZA,12
II,Ceratotherium simum simum,leather products (small),,ZA,14
II,Ceratotherium simum simum,live,,ZA,33
II,Ceratotherium simum simum,skin pieces,,ZA,1
II,Ceratotherium simum simum,skins,,ZA,10
II,Ceratotherium simum simum,skulls,,ZA,2
II,Ceratotherium simum simum,specimens,,ZA,133
II,Ceratotherium simum simum,tails,,ZA,3
II,Ceratotherium simum simum,trophies,,US,1
II,Ceratotherium simum simum,trophies,,ZA,63
