App.,Taxon,Term,Unit,Country,2016
I,Panthera tigris,bodies,,CA,1
I,Panthera tigris,bodies,,CH,2
I,Panthera tigris,bodies,,CN,1
I,Panthera tigris,bodies,,FR,1
I,Panthera tigris,bodies,,GB,1
I,Panthera tigris,bodies,,NL,2
I,Panthera tigris,bodies,,US,1
I,Panthera tigris,bodies,,ZA,1
I,Panthera tigris,bone pieces,,VN,5
I,Panthera tigris,carvings,,US,1
I,Panthera tigris,claws,,CA,2
I,Panthera tigris,leather products (small),,XX,1
I,Panthera tigris,live,,AR,11
I,Panthera tigris,live,,BE,7
I,Panthera tigris,live,,CA,4
I,Panthera tigris,live,,CN,6
I,Panthera tigris,live,,CZ,5
I,Panthera tigris,live,,DE,1
I,Panthera tigris,live,,DK,1
I,Panthera tigris,live,,ES,3
I,Panthera tigris,live,,ID,1
I,Panthera tigris,live,,IE,1
I,Panthera tigris,live,,IT,6
I,Panthera tigris,live,,JP,2
I,Panthera tigris,live,,KZ,6
I,Panthera tigris,live,,MA,4
I,Panthera tigris,live,,MX,5
I,Panthera tigris,live,,PE,3
I,Panthera tigris,live,,RU,5
I,Panthera tigris,live,,SK,2
I,Panthera tigris,live,,UA,2
I,Panthera tigris,live,,UZ,2
I,Panthera tigris,live,,ZA,21
I,Panthera tigris,medicine,,CA,2
I,Panthera tigris,medicine,,CN,507
I,Panthera tigris,medicine,,KH,182
I,Panthera tigris,medicine,,KR,1
I,Panthera tigris,medicine,,VN,272
I,Panthera tigris,medicine,,XX,371
I,Panthera tigris,rug,,CA,1
I,Panthera tigris,rug,,ZA,2
I,Panthera tigris,skin pieces,,GB,1
I,Panthera tigris,skins,,CA,1
I,Panthera tigris,skins,,NL,1
I,Panthera tigris,specimens,,GB,53
I,Panthera tigris,specimens,,US,6
I,Panthera tigris,teeth,,VN,3
I,Panthera tigris,trophies,,ZA,1
I,Panthera tigris altaica,bodies,,CN,1
I,Panthera tigris altaica,bodies,,NL,1
I,Panthera tigris altaica,live,,CA,3
I,Panthera tigris altaica,live,,CZ,1
I,Panthera tigris altaica,live,,KZ,2
I,Panthera tigris altaica,live,,NO,2
I,Panthera tigris altaica,rug,,CA,1
I,Panthera tigris altaica,skins,,BY,1
I,Panthera tigris altaica,skins,,CA,1
I,Panthera tigris altaica,skins,,NL,1
I,Panthera tigris altaica,skulls,,CA,1
I,Panthera tigris altaica,specimens,,CN,1
I,Panthera tigris altaica,specimens,,GB,320
I,Panthera tigris altaica,specimens,,US,29
