App.,Taxon,Term,Unit,Country,2016
I,Panthera tigris,bodies,,CN,3
I,Panthera tigris,bodies,,FR,2
I,Panthera tigris,bodies,,IT,1
I,Panthera tigris,bodies,,KP,1
I,Panthera tigris,bodies,,TR,1
I,Panthera tigris,bodies,,TW,1
I,Panthera tigris,bodies,,UY,1
I,Panthera tigris,bone pieces,,US,5
I,Panthera tigris,carvings,,IT,1
I,Panthera tigris,claws,,US,2
I,Panthera tigris,leather products (small),,US,1
I,Panthera tigris,live,,AU,2
I,Panthera tigris,live,,BR,3
I,Panthera tigris,live,,BY,1
I,Panthera tigris,live,,CA,6
I,Panthera tigris,live,,CL,4
I,Panthera tigris,live,,EC,2
I,Panthera tigris,live,,ID,1
I,Panthera tigris,live,,IL,2
I,Panthera tigris,live,,IT,4
I,Panthera tigris,live,,JP,3
I,Panthera tigris,live,,KG,4
I,Panthera tigris,live,,KZ,6
I,Panthera tigris,live,,LV,1
I,Panthera tigris,live,,MD,2
I,Panthera tigris,live,,MY,2
I,Panthera tigris,live,,PH,2
I,Panthera tigris,live,,TH,12
I,Panthera tigris,live,,TN,1
I,Panthera tigris,live,,UA,1
I,Panthera tigris,live,,US,10
I,Panthera tigris,live,,UZ,2
I,Panthera tigris,live,,VN,21
I,Panthera tigris,live,,XX,6
I,Panthera tigris,medicine,,US,1335
I,Panthera tigris,rug,,CN,2
I,Panthera tigris,rug,,US,1
I,Panthera tigris,skin pieces,,CA,1
I,Panthera tigris,skins,,CN,1
I,Panthera tigris,skins,,US,1
I,Panthera tigris,specimens,,GB,6
I,Panthera tigris,specimens,,US,53
I,Panthera tigris,teeth,,US,3
I,Panthera tigris,trophies,,DK,1
I,Panthera tigris altaica,bodies,,CN,1
I,Panthera tigris altaica,bodies,,KP,1
I,Panthera tigris altaica,live,,CH,1
I,Panthera tigris altaica,live,,GB,1
I,Panthera tigris altaica,live,,KG,2
I,Panthera tigris altaica,live,,NL,1
I,Panthera tigris altaica,live,,PK,2
I,Panthera tigris altaica,live,,TH,1
I,Panthera tigris altaica,rug,,CN,1
I,Panthera tigris altaica,skins,,CN,1
I,Panthera tigris altaica,skins,,RU,2
I,Panthera tigris altaica,skulls,,IT,1
I,Panthera tigris altaica,specimens,,GB,29
I,Panthera tigris altaica,specimens,,KR,1
I,Panthera tigris altaica,specimens,,US,320
