id,population,tusks,ivory carvings,ivory pieces,piano keys,jewellery - ivory,teeth
BE,17,,,,,,
FR,358,,,,,,
BA,1,,,,,,
BM,1,,,,,,
DE,234,,,,,,
JP,753,,,,,,
HK,871,,,,,,
JO,3,,,,,,
BR,1,,,,,,
ET,5,,,,,,
FI,36,,,,,,
RU,26,,,,,,
LB,2,,,,,,
PT,5,,,,,,
NO,110,,,,,,
TW,36,,,,,,
MY,11,,,,,,
NZ,201,,,,,,
PG,39,,,,,,
TH,150,,,,,,
PE,1,,,,,,
PH,58,,,,,,
RO,4,,,,,,
EG,1,,,,,,
PL,52,,,,,,
CH,564,,,,,,
AE,58,,,,,,
CN,1393.5,,,,,,
CL,3,,,,,,
CA,616,,,,,,
IT,48,,,,,,
VN,7,,,,,,
ZA,6,,,,,,
XX,18,,,,,,
AR,2,,,,,,
AU,274,,,,,,
GB,449,,,,,,
IN,8,,,,,,
NL,55,,,,,,
GL,3,,,,,,
ES,38,,,,,,
OM,1,,,,,,
UY,52,,,,,,
MC,4,,,,,,
UA,2,,,,,,
KH,1,,,,,,
US,2038,,,,,,
KR,135,,,,,,
BW,2,,,,,,
UG,10,,,,,,
TZ,3,,,,,,
SG,47,,,,,,
MX,2676,,,,,,
SE,68,,,,,,
AT,39,,,,,,
