id,population,tusks,ivory carvings,ivory pieces,piano keys,jewellery - ivory,teeth
BE,289,,,,,,
FR,1053.5,,,,,,
VE,54,,,,,,
DK,70,,,,,,
BM,1,,,,,,
DE,610,,,,,,
JP,191.5,,,,,,
HK,58,,,,,,
ZA,182,,,,,,
BW,2,,,,,,
JE,1,,,,,,
GR,2,,,,,,
CN,32,,,,,,
RU,16,,,,,,
LB,1,,,,,,
PT,84,,,,,,
NO,13,,,,,,
NA,68,,,,,,
TR,5,,,,,,
LT,2,,,,,,
NG,5,,,,,,
NZ,326,,,,,,
LU,48,,,,,,
RO,53,,,,,,
PL,319,,,,,,
ZM,11,,,,,,
CH,119.5,,,,,,
AE,19,,,,,,
AD,1,,,,,,
CM,161,,,,,,
CA,121,,,,,,
IT,4,,,,,,
VN,100,,,,,,
CD,1,,,,,,
GG,9,,,,,,
CZ,6,,,,,,
XX,1,,,,,,
AR,105,,,,,,
AU,75,,,,,,
GB,4938,,,,,,
IN,1,,,,,,
NL,52,,,,,,
ZW,192,,,,,,
IE,1,,,,,,
SA,6,,,,,,
ES,79,,,,,,
UY,146,,,,,,
KE,50,,,,,,
US,1657,,,,,,
KR,36,,,,,,
SI,11,,,,,,
UG,7,,,,,,
MZ,52,,,,,,
SG,18,,,,,,
MX,20,,,,,,
AT,111,,,,,,
