id,population,live
BE,51,
FR,7,
BG,5,
TG,2,
UA,2,
BB,22,
SG,2822,
DE,17,
BH,1052,
SY,160,
BJ,1,
TD,1,
ZA,28308,
JO,952,
BS,2,
JE,3,
RU,2,
LB,1564,
GQ,4,
PT,393,
NO,4,
CO,1,
NA,46,
TR,329,
JP,1,
UG,1,
TH,44,
PK,3,
PH,732,
RO,1,
IS,2,
ZM,1,
CH,5,
AE,944,
GR,4,
CM,2297,
VG,1,
IQ,1,
CG,753,
CA,52,
IR,2,
AM,7,
IT,4,
CD,1600,
GG,4,
CZ,4,
XX,1,
AR,1,
GB,10,
GA,1,
IN,1,
NL,97,
ZW,1,
ID,109,
ES,51,
OM,6133,
KE,2,
UZ,3715,
ML,2447,
RS,2,
US,76,
QA,1445,
KR,2,
SA,152,
KW,2227,
SN,1,
SR,100,
KZ,2,
KY,1,
MZ,426,
MY,3,
MX,1,
SE,1,
IL,1,
