id,population,specimens,medicine,live,trophies,bodies,carvings,horns,horn carvings
BE,5,,,,,,,,
FR,2,,,,,,,,
CH,1,,,,,,,,
CN,33,,,,,,,,
EE,1,,,,,,,,
DE,235,,,,,,,,
JP,1,,,,,,,,
ZA,1862,,,,,,,,
VN,4,,,,,,,,
HU,2,,,,,,,,
HK,40,,,,,,,,
AU,3,,,,,,,,
AT,6,,,,,,,,
ES,1,,,,,,,,
RU,2,,,,,,,,
TZ,1,,,,,,,,
KE,127,,,,,,,,
NA,23,,,,,,,,
TT,1,,,,,,,,
TR,3,,,,,,,,
US,173,,,,,,,,
SK,3,,,,,,,,
NZ,1,,,,,,,,
KW,10,,,,,,,,
PL,2,,,,,,,,
TH,8,,,,,,,,
KZ,2,,,,,,,,
RO,6,,,,,,,,
SG,5,,,,,,,,
MX,5,,,,,,,,
SE,2,,,,,,,,
GB,5,,,,,,,,
